id_seq,titulo,resumo,palavras_chave,idioma,source,ano,decisao_ia_piloto,criterio_ia_piloto,justificativa_ia_piloto,inconsistencia_json,motivo_inconsistencia,acao_guardrail,calibracao_ok,observacao_calibracao
60,The Impact of Digital Technologies of Tax Administration on Increasing the Inclusiveness and Sustainability of Economic Development,"The modern world is at the next, innovative stage of its development, connected with mainstreaming of IT technologies and digitization of processes that have affected all spheres of human activity. Financial and economic relations are no exception. The digital economy paradigm is embedded in the financial system, providing convenience, time savings, and technology security, which increases not only the availability of financial services but also is a stimulating tool for ensuring and increasing the profitability of public finance. Contactless technologies have become an integral part of the tax administration system, which is designed to neutralize the negative perception of the tax process by the population and business entities, to make it open, accessible, which makes it possible to improve tax collection, increase inclusiveness and sustainability of economic development. The chapter formulates a modern concept of tax administration, critically analyzes existing electronic services and tax administration programs, presents their classification, and identifies shortcomings and prospects for optimizing this process. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Digital Economy | Electronic Tax Services | Federal Tax Service | Tax Administration | Economic and social effects | Economics | Sustainable development | Digital economy | Digital technologies | Digitisation | Economic development | Economic relations | Electronic tax service | Federal tax | Federal tax service | Financial system | Human activities | Taxation,English,Scopus,2022,dúvida,EC-A2,"O trabalho aborda administração tributária digital e sua capacidade de melhorar a arrecadação fiscal (tax collection), o que tem interface com enforcement e conformidade do contribuinte. Contudo, o foco central parece ser na modernização tecnológica e nos efeitos sobre desenvolvimento sustentável e inclusividade econômica, sem ênfase clara na dimensão coercitiva, executória ou contenciosa da cobrança, nem no comportamento estratégico/litigioso do contribuinte. Há dúvida razoável sobre se o texto contempla suficientemente as dimensões de enforcement, execução fiscal ou conduta do contribuinte perante a cobrança, ou se se restringe a aspectos de conveniência e eficiência arrecadatória em nível sistêmico/macro.",False,,,,
71,Fiscal deficit and value-added tax collection in Ecuador: Trends and tax effectiveness,"The value-added tax (VAT) plays a central role as the main source of tax revenue, representing approximately 40% of total tax revenue in Ecuador. The objective of this research was to analyze the fiscal deficit and VAT collection in Ecuador, considering trends and tax effectiveness. Despite its importance, VAT faces significant challenges such as persistent tax evasion and tax exemptions, which reduce potential state revenue. The methodology was descriptive and documentary, incorporating various comparative studies with international experiences, such as those of Chile and Brazil, which suggest simplifying the tax system and improving tax administration to increase revenue collection. The results show that the tax administration is investing in technology and training to improve oversight and ensure a solid tax base that supports long-term economic and social development. VAT collection shows an upward trend and improved tax effectiveness in recent years, exceeding established targets and reflecting the impact of investments in tax enforcement. It is concluded that tax exemptions are effective in implementing strategies against tax evasion, and that by adopting international experiences, the optimization of the tax system in Ecuador is systematized. © Licencia de Creative Commons Atribución 4.0 Internacional (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/deed.es",Fiscal deficit | revenue collection | tax effectiveness | tax evasion | value-added tax,English,Scopus,2025,incluir,,"O artigo aborda administração tributária (VAT no Equador), com foco em cobrança, efetividade fiscal, evasão tributária e enforcement (fiscalização, tecnologia, supervisão). Trata diretamente da dimensão coercitiva e executória da arrecadação, bem como do comportamento de (in)adimplemento do contribuinte (evasão fiscal), alinhando-se ao objeto central da revisão.",False,,,,
77,The Impact of Tax Havens on Domestic Legislative Regulation in Selected States,"The expansion of the offshore economy poses significant challenges to national tax systems by facilitating tax evasion, profit shifting, and income concealment, thereby undermining fiscal sovereignty. This manuscript examines the impact of tax havens on national tax legislation and analyzes legal responses to offshore-based tax avoidance within domestic legal frameworks. The study applies a normative juridical method by conducting comparative legal analysis and statutory review of recent legislative developments in the United Kingdom, the European Union, and the Russian Federation. The findings demonstrate, first, that the OECD Base Erosion and Profit Shifting (BEPS) Action Plan functions as a central reference for tax law reform in both OECD and non-OECD jurisdictions and, second, that national legal systems increasingly strengthen regulatory mechanisms to enhance corporate transparency, particularly through mandatory disclosure of ultimate beneficial ownership and expanded information-exchange obligations. These trends indicate a growing convergence of domestic tax laws toward international standards aimed at preventing offshore tax abuses and reinforcing the effectiveness of tax enforcement. © 2025 Sebelas Maret University Faculty of Law. All rights reserved.",Business Transparency | Offshore Economy | Tax Havens | Tax law,English,Scopus,2025,excluir,EC-A2,"O artigo analisa o impacto dos paraísos fiscais na legislação tributária doméstica, focando em reformas normativas (BEPS, transparência corporativa, divulgação de beneficiários finais e troca de informações). Embora tangencialmente relacionado ao enforcement fiscal, o foco central é no planejamento tributário preventivo/regulatório e na harmonização legislativa internacional, sem abordar a dimensão coercitiva, executória ou contenciosa da cobrança tributária (execução fiscal, litígio, auditoria, penalidades ou recuperação de crédito). Não contempla o comportamento estratégico do contribuinte frente à cobrança coercitiva nem mecanismos de dissuasão ou conformidade com impacto direto na execução tributária.",False,,,,
89,To register or not to register for value-added tax? How tax rate changes can influence the decisions of small businesses in South Africa,"Purpose: Correct registration for the value-added tax (VAT) is a key aspect of tax compliance; it is vital in ensuring adequate tax revenue collection in all countries but particularly in developing countries such as South Africa. Non-registration hinders sufficient tax revenue collection, stifles economic growth and causes unfair competition with formal businesses. The purpose of this study is to determine whether changes in the VAT rate affect the registration decisions of businesses, ultimately impacting upon tax compliance behaviour and tax revenue collection. Design/methodology/approach: An online 2 × 2 between-subjects field experiment was conducted, as part of a broader study, to consider compliance with registration requirements by small business entities in South Africa, specifically when there are changes in the VAT rate. Findings: Although the study establishes that changes in the VAT rate tend not to have a significant impact on the registration decisions of such taxpayers, it nonetheless indicates that the magnitude of the change in the VAT rate may be influential on registration decisions, whether relating to compulsory or voluntary registration. More particularly, the greater the magnitude of the VAT rate decrease (increase), the more likely it is that taxpayers will register (deregister) for VAT purposes, indicating that the magnitude of changes in the VAT rate do have an impact on VAT registration decisions and therefore on tax compliance more generally. Research limitations/implications: Not only does the study add to the limited knowledge available on registration decisions of small businesses, but also gives valuable guidance to policymakers in terms of determining the VAT rate for the country. Originality/value: Not only does the study add to the limited knowledge available on registration decisions of small businesses, but it also gives valuable guidance to policymakers in terms of determining the VAT rate for the country. © 2022, Anna Herculina Anculien Schoeman, Christopher C. Evans and Hanneke du Preez.",Field experiment | Small business entities | Tax compliance | Tax registration | VAT rate,English,Scopus,2022,dúvida,EC-A5,"O estudo examina o comportamento de registro (ou não registro) para fins de IVA por pequenas empresas na África do Sul em função de mudanças na alíquota do imposto. Há conexão com conformidade tributária e arrecadação de receita (tax revenue collection), o que tangencia o escopo da cobrança e enforcement. Contudo, o desenho metodológico é um experimento comportamental (field experiment) que essencialmente capta decisões/percepções de contribuintes sobre registro voluntário/compulsório diante de variações de alíquota, sem tratar diretamente de mecanismos coercitivos, execução fiscal, litígio ou penalidades. O estudo aproxima-se de análise atitudinal/comportamental de conformidade, sem evidência clara de abordagem da dimensão executória ou contenciosa da cobrança tributária (EC-A2) ou de enforcement em sentido estrito. Mantém-se a dúvida diante do potencial impacto na conformidade e arrecadação mencionados no resumo, que podem justificar revisão em texto completo.",False,,,,
97,Digitalization of tax administration and corporate performance: Evidence from China,"This paper finds a direct causal relationship between company performance and the digitization of tax collection. Using the “quasi-natural experiment” of the implementation in 2013 of the third stage of the China Tax Administration Information System (CTAIS-3) pilot, we conduct an empirical test based on micro-data of listed companies from 2009 to 2021 and discover that by increasing taxes on firms, lowering the size of new investments, and intensifying financial problems, which result in lower operational income, the critical CTAIS-3 pilot for digitizing tax administration significantly reduces corporate performance. Enhanced tax enforcement is particularly prominent if a firm is with significant financing constraints, is a non-state-owned enterprise, or is bigger. Furthermore, we find that the implementation of the CTAIS-3 pilot has increased fairness because it is more effective in lowering the performance of large-scale enterprises, primarily because it reduces the government subsidies and tax benefits that these companies receive. © 2023 Elsevier Inc.",Information technology adoption | Performance | Tax burden | Tax fairness,English,Scopus,2023,incluir,,"O artigo examina os efeitos da digitalização da administração tributária (CTAIS-3) sobre o comportamento das empresas, abordando diretamente o enforcement fiscal (aumento da cobrança de tributos, redução de benefícios e subsídios), a conformidade/inadimplência do contribuinte e os impactos da intensificação da fiscalização sobre o desempenho corporativo. Insere-se no contexto da administração pública tributária com dimensão coercitiva e executória, sendo plenamente compatível com o escopo da revisão.",False,,,,
108,Supply-induced demand: insights from tax litigation,"Despite extensive literature focusing on the concept of supply-induced demand, there remains a notable dearth of contributions in law and economics. This paper seeks to address this gap by investigating the role of tax advisors in stimulating the demand for litigation in a specific case. To this aim, the paper analyses data from Italy concerning advisors who can push the client to litigate an allegation of the tax authority that could otherwise be solved. The information imbalance between advisors and taxpayers can determine an incentive for the former group to promote litigation to gain from these legal causes. We observe that this phenomenon may be mainly observed in regions in which there is low economic activity, and then not only the opportunity cost for accountants to devote themselves to more lucrative activities is lower, but indeed, litigation can represent an additional source of income, thus representing a profit-maximizing strategy. The results suggest that SID does not depend on the specific field but on the agency relationship, coupling a fiduciary duty with with a mandatory decision to be taken in a short time span. © The Author(s) 2025.",Accounting | Best interest of client | Fiduciary duty | Supplier induced demand | Tax advisors | Tax litigation,English,Scopus,2025,incluir,,"O artigo investiga o papel dos assessores tributários na estimulação da demanda por litígio fiscal, analisando dados da Itália sobre conduta estratégica de agentes que incentivam contribuintes a litigar contra autuações da autoridade fiscal. O tema abrange diretamente a dimensão contenciosa da cobrança tributária, o comportamento estratégico do contribuinte (e de seus representantes) no contexto de litígio tributário, bem como aspectos de abuso processual e litigância protelatória — todos dentro do escopo da revisão. Está redigido em inglês e não se enquadra em nenhum critério de exclusão da Etapa 1.",False,,,,
214,The (Des)Necessary De-Judicialization of Tax Enforcement: Law Projects 4.257/19 and 6204/19 Impressions and a Analysis of Yours Constitutionality,"The purpose of this article was to study the existing bills to carry out the dejudicialization of executions in Brazil, with an emphasis on tax foreclosures. It is well known that tax executions have been ineffective with regard to the satisfaction of tax credits by the tax authorities. Some countries have adopted measures to withdraw part or all of the execution measures from the Judiciary, passing them on to administrative bodies, which would have the aim of seeking and restricting debtors' assets. In Brazil there are some proposals that seek to apply these policies, aiming at a better efficiency in the collection numbers in the executions. Thus, we sought to verify whether these proposals would be suitable for the Brazilian constitutional model, as well as for tax executions and the consequences of the creation of this institute for Brazilian taxpayers. For the elaboration of the article, the deductive method is used with bibliographic research and analysis of the existing legislative proposals in the Brazilian National Congress. By way of anticipation of the conclusion, we want to believe that there is no unconstitutionality of the bill under analysis, with some changes to be introduced as useful to the execution process in Brazil, which may reduce the length of the Brazilian process and, thus, meet the desired effectiveness of the execution and the reasonable duration of the process. Finally, the positive experiences of foreign law, with the necessary adaptations, can bring success and be beneficial to the execution designed in the Brazilian civil procedure. © 2025, Universidade do Estado do Rio de Janeiro. All rights reserved.",Dejudicialization | Execution Efficiency | Tax Enforcement | Tax Law,Portuguese,Scopus,2025,incluir,,"O artigo trata diretamente da desjudicialização da execução fiscal no Brasil, analisando projetos de lei (PL 4.257/19 e PL 6.204/19) que visam aumentar a eficiência da cobrança de créditos tributários pela administração pública. Aborda a dimensão coercitiva e executória da cobrança tributária, a efetividade da satisfação do crédito fiscal, o comportamento dos devedores e a constitucionalidade do enforcement administrativo. Está perfeitamente dentro do escopo da revisão, contemplando enforcement fiscal, recuperação de crédito, litígio tributário e efetividade da execução fiscal.",False,,,,
281,Tax enforcement activities: Evidence on the impact of a threat-of-audit letter,"As part of their ordinary enforcement activities, tax authorities around the world use letters and other forms of personalised communications to elicit tax compliance at a low cost. The literature shows that the impact of a threat-of-audit letter (TAL) depends critically on the credibility of the letter which, in turn, depends on the information disclosed to the taxpayer. We study a TAL that is credible because it also uses third-party information to target a form of cost manipulation but, at the same time, incentivises alternative forms of cost manipulation by not targeting them. We find that the direct impact on the targeted cost manipulation is stronger than the strategic increase in other costs, and therefore the overall effect of the TAL on taxable income is positive. Our approach can be applied to any letter or enforcement action that reveals information to taxpayers and thus prompts their strategic responses. By observing the taxpayers’ responses along all relevant dimensions, the tax authority can evaluate the impact of the strategy and also obtain valuable information to target future enforcement activities. © 2023 Economic and Political Studies.",difference-in-differences | small business taxation | Tax compliance by businesses | threat-of-audit letter,English,Scopus,2024,incluir,,"O artigo trata diretamente de atividades de enforcement tributário, especificamente o uso de cartas de ameaça de auditoria (threat-of-audit letter) por autoridades fiscais para eliciar conformidade tributária. Aborda a dimensão coercitiva e executória da administração tributária, o comportamento estratégico do contribuinte em resposta a ações fiscais (manipulação de custos, conformidade), e a efetividade das ações de enforcement sobre a renda tributável. Está redigido em inglês e contempla plenamente o escopo da revisão.",False,,,,
310,The factors affecting corporate income tax non-compliance: A case study in Vietnam,"In many countries, the Government enacts tax laws in order to manage tax collection and regulate the macro-economy. According to Noor, Jamaludin, Omar, and Aziz (2013), tax non-compliance is a growing concern because of its negative effects on the state budget. The main objectives of this article are to identify the factors affecting corporate income tax non-compliance of enterprises in Ho Chi Minh City in accordance with the current situation of Vietnamese tax administration. We use several research methods, including the exploitation of information and practical experiences from both taxpayers and tax authorities; with Probit regression model on a sample of 187 enterprises that have been inspected or examined by tax authorities in Vietnam during the period from 2013 to 2017. The article identified eight factors affecting corporate income tax (CIT) non-compliance: (1) working capital/total assets; (2) revenue/total assets; (3) total debt/total assets; (4) loss in the previous year; (5) receivables/revenue; (6) the size of enterprises; (7) tax administrative penalties/tax payable; and (8) business field. In particular, the tax non-compliance was studied as a violation of Vietnamese tax laws by enterprises declaring an insufficient amount of CIT payable to the State budget. © UiTM Press.",Corporate income tax | Enterprise | Tax non-compliance | Vietnamese tax law,English,Scopus,2020,incluir,,"O artigo investiga os fatores determinantes do não cumprimento (non-compliance) do imposto de renda corporativo em empresas vietnamitas inspecionadas ou auditadas pelas autoridades fiscais, utilizando modelo Probit em amostra de 187 empresas submetidas a fiscalização/auditoria entre 2013 e 2017. O estudo aborda diretamente a administração tributária (fiscalização, auditoria, penalidades administrativas), o comportamento estratégico e a conformidade/inadimplência do contribuinte com impacto na arrecadação, estando plenamente dentro do escopo da revisão.",False,,,,
332,Tackle spurious invoices challenges to VAT compliance: a quasi-experiment of input VAT deduction reform in China,"When upstream suppliers are VAT-exempted, overclaiming by fictional invoices becomes easier. This paper examines the effect of the presumed input VAT deduction reform on VAT evasion among VAT-exempted transactions in China. In the reform, firms are required to claim the presumed input refund of VAT based on downstream sales volume instead of on purchasing cost recorded on self-issued purchased invoices. We find that the reform reduced firms’ VAT evasion since taxpayers have little incentive to use spurious invoices. Furthermore, the reform demonstrated more pronounced policy effects when taxpayers are low in tax-compliance and local economy contains a higher share of tax-noncompliant firms with poor accounting records. Results survive a battery of robustness checks as well as treatment effect heterogeneity. The presumed input VAT method would be a complementary tax enforcement tool to avoid VAT evasion in low tax capacity and high-informality settings under the context of credit-invoice VAT collection system. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.",D22 | H26 | H32 | Information deterrence | Self-restraint | Tax noncompliance,English,Scopus,2024,incluir,,"O artigo examina diretamente a evasão fiscal no âmbito do IVA (VAT) na China, analisando o efeito de uma reforma de enforcement tributário (dedução presumida de insumos) sobre o comportamento de não conformidade dos contribuintes (uso de notas fiscais fictícias/spurious invoices). Aborda a dimensão coercitiva e executória da administração tributária (tax enforcement, information deterrence), a conduta estratégica do contribuinte (tax noncompliance, evasão) e o impacto de mecanismos de controle fiscal na conformidade, estando plenamente dentro do escopo da revisão.",False,,,,
